Jornada;Localidad;Puesto;Adversario;Sistema de juego;Atalanta;Rival
1;H;6;Alcione;4-4-2 doble pivote;1;2
2;A;12;Novara;3-4-2-1;0;3
3;H;7;Trento;3-4-2-1;1;1
4;A;8;Triestina;3-4-2-1;1;5
5;A;5;Lumezzane;3-4-2-1;2;1
6;H;9;Pergolettese;3-4-2-1;5;1
7;A;6;Virtus Verona;3-4-2-1;1;2
8;H;5;Giana Erminio;3-4-2-1;1;3
9;A;5;UC AlbinoLeffe;3-4-2-1;2;2
10;H;7;Renate;3-4-2-1;4;0
11;A;6;LR Vicenza;3-4-2-1;3;0
12;H;8;Pro Vercelli;3-4-2-1;2;0
13;A;5;Feralpisalo;3-4-2-1;3;1
14;H;7;Pro Patria;3-4-2-1;2;1
15;A;6;Padova;3-4-2-1;3;1
16;H;7;Caldiero;3-4-2-1;2;0
17;H;6;Clodiense;3-4-2-1;2;1
18;A;5;Arzignano;4-4-2 doble pivote;3;1
19;H;5;Lecco;3-4-2-1;5;2
20;A;4;Alcione;3-4-2-1;0;1
21;H;4;Novara;3-4-2-1;0;0
22;A;4;Trento;3-4-2-1;2;2
23;H;4;Triestina;3-4-2-1;3;1
24;H;4;Lumezzane;3-4-2-1;0;1
25;A;4;Pergolettese;3-4-2-1;3;1
26;H;4;Virtus Verona;3-4-2-1;0;3
27;A;5;Giana Erminio;3-4-2-1;2;1
28;H;6;UC AlbinoLeffe;3-4-2-1;1;1
29;A;8;Renate;4-4-2 doble pivote;1;0
30;H;8;LR Vicenza;3-4-2-1;2;2
31;A;9;Pro Vercelli;3-4-2-1;0;0
32;H;9;Feralpisalo;4-4-2 doble pivote;4;1
33;A;8;Pro Patria;3-4-2-1;1;2
34;H;7;Padova;4-4-2 doble pivote;1;1
35;A;7;Caldiero;3-4-2-1;1;1
36;A;8;Clodiense;3-4-2-1;1;3
37;H;6;Arzignano;3-4-2-1;1;3
38;A;8;Lecco;4-4-2 doble pivote;0;1
